movie_id,movie_name,year,certificate,runtime,genre,rating,description,director,director_id,star,star_id,votes,gross(in $)
tt4382824,Army of One,2016,R,92 min,"Biography, Comedy, Crime",5.2,"After a personal visit by God himself, the eccentric construction worker Gary Faulkner takes the decision to embark on an adventure in the badlands of Pakistan to bring Al-Qaeda's leader Osama Bin Laden to justice.",Larry Charles,/name/nm0153078/,"Nicolas Cage, 
Russell Brand, 
Wendi McLendon-Covey, 
Amar Chadha-Patel","/name/nm0000115/,/name/nm1258970/,/name/nm1018488/,/name/nm0149447/",8226,
tt15536668,Rheingold,2022,,138 min,"Biography, Crime, Drama",7.1,"Capturing the life of German hip-hop rapper, entrepreneur, and ex-convict Giwar Hajabi.",Fatih Akin,/name/nm0015359/,"Jesse Albert, 
José Barros, 
Felix Bold, 
Shaima Boone","/name/nm7462099/,/name/nm5215224/,/name/nm13137118/,/name/nm8377222/",957,
tt0780548,Kid Cannabis,2014,Not Rated,110 min,"Biography, Comedy, Crime",6.4,An eighteen year old high school drop out and his twenty-seven year old friend start trafficking marijuana across the border of Canada in order to make money and their lives are changed forever.,John Stockwell,/name/nm0007082/,"Jonathan Daniel Brown, 
Kenny Wormald, 
Aaron Yoo, 
Ron Perlman","/name/nm3967854/,/name/nm1552693/,/name/nm1683094/,/name/nm0000579/",10222,
tt15299406,Hadik,2023,,,"Action, Adventure, Biography",,Follows the life of Hungarian nobleman András Hadik.,János Szikora,/name/nm0844066/,"Zsolt Trill, 
Áron Molnár, 
Tamás Szalma, 
Gyözö Szabó","/name/nm0872811/,/name/nm3263356/,/name/nm0843751/,/name/nm0843632/",,
tt0273822,Mockingbird Don't Sing,2001,Not Rated,98 min,"Biography, Drama",6.4,"Based on the actual events of one of the most horrific cases of child abuse ever to be documented, this haunting drama tells the tale of a young girl that was locked in a room for over 12 years.",Harry Bromley Davenport,/name/nm0111332/,"Melissa Errico, 
Michael Lerner, 
Joe Regalbuto, 
Sean Young","/name/nm0259805/,/name/nm0503627/,/name/nm0005344/,/name/nm0000707/",2121,
tt1104083,Little Ashes,2008,R,112 min,"Biography, Drama, History",6.4,"About the young life and loves of artist Salvador Dalí, filmmaker Luis Buñuel and writer Federico García Lorca.",Paul Morrison,/name/nm0607422/,"Robert Pattinson, 
Javier Beltrán, 
Matthew McNulty, 
Marina Gatell","/name/nm1500155/,/name/nm2779214/,/name/nm2439913/,/name/nm0309510/",9364,480339
tt0116621,In Love and War,1996,PG-13,113 min,"Biography, Drama, Romance",5.9,A bitter love story between a talented writer and a gentle nurse.,Richard Attenborough,/name/nm0000277/,"Sandra Bullock, 
Chris O'Donnell, 
Mackenzie Astin, 
Margot Steinberg","/name/nm0000113/,/name/nm0000563/,/name/nm0040015/,/name/nm0825784/",8868,14481231
tt0055047,King of Kings,1961,PG-13,168 min,"Biography, Drama",7,"The temporary physical life of the Biblical Savior, Jesus Christ.",Nicholas Ray,/name/nm0712947/,"Jeffrey Hunter, 
Siobhan McKenna, 
Hurd Hatfield, 
Ron Randell","/name/nm0001374/,/name/nm0571430/,/name/nm0368836/,/name/nm0709681/",8344,14483352
tt10182822,Loro,2018,Unrated,151 min,"Biography, Drama",6.7,"An escort-service owner uses his girls to get close to politician/PM and media mogul Silvio Berlusconi, but in 2006 he's preoccupied with his shaky marriage and losing an election.",Paolo Sorrentino,/name/nm0815204/,"Toni Servillo, 
Elena Sofia Ricci, 
Riccardo Scamarcio, 
Kasia Smutniak","/name/nm0785842/,/name/nm0723204/,/name/nm1249052/,/name/nm0810738/",6401,
tt0056048,Gypsy,1962,Approved,143 min,"Biography, Comedy, Drama",7.1,"Based on the Broadway hit about the life and times of burlesque dancer Gypsy Rose Lee and her aggressive stage mother, Mama Rose.",Mervyn LeRoy,/name/nm0503777/,"Rosalind Russell, 
Natalie Wood, 
Karl Malden, 
Paul Wallace","/name/nm0751426/,/name/nm0000081/,/name/nm0001500/,/name/nm0908813/",6575,13008000
tt11525022,Dance of the 41,2020,TV-MA,99 min,"Biography, Drama, History",6.8,"At the end of the 19th century, Ignacio de la Torre married the daughter of the president of Mexico, Porfirio Díaz. Ignacio leads a double life: he rises in the traditional world of politics while being a member of a clandestine society.",David Pablos,/name/nm2653170/,"Alfonso Herrera, 
Emiliano Zurita, 
Mabel Cadena, 
Fernando Becerril","/name/nm1270781/,/name/nm2800364/,/name/nm5870099/,/name/nm0064933/",4826,
tt4642192,Trautmann,2018,,120 min,"Biography, Drama, Romance",7.2,"The love story of a young English woman and a German PoW, who together overcome prejudice, public hostility and personal tragedy.",Marcus H. Rosenmüller,/name/nm1455707/,"David Kross, 
Freya Mavor, 
John Henshaw, 
Harry Melling","/name/nm1269088/,/name/nm4087606/,/name/nm0378132/,/name/nm0577982/",5886,
tt0821642,The Soloist,2009,PG-13,117 min,"Biography, Drama, Music",6.7,A newspaper journalist discovers a homeless musical genius and tries to improve his situation.,Joe Wright,/name/nm0942504/,"Jamie Foxx, 
Robert Downey Jr., 
Catherine Keener, 
Tom Hollander","/name/nm0004937/,/name/nm0000375/,/name/nm0001416/,/name/nm0390903/",54260,31670931
tt4977530,Viceroy's House,2017,Not Rated,106 min,"Biography, Drama, History",6.7,"The final Viceroy of India, Louis Francis Albert Victor Nicholas Mountbatten, 1st Earl Mountbatten of Burma (Hugh Bonneville), is tasked with overseeing the transition of British India to independence, but meets with conflict as different sides clash in the face of monumental change.",Gurinder Chadha,/name/nm0149446/,"Hugh Bonneville, 
Gillian Anderson, 
Manish Dayal, 
Huma Qureshi","/name/nm0095017/,/name/nm0000096/,/name/nm2110485/,/name/nm4806622/",8243,1105717
tt0081748,Where the Buffalo Roam,1980,R,99 min,"Biography, Comedy",6.5,Semi-biographical film based on the experiences of gonzo journalist Hunter S. Thompson.,Art Linson,/name/nm0513165/,"Peter Boyle, 
Bill Murray, 
Bruno Kirby, 
Rene Auberjonois","/name/nm0001967/,/name/nm0000195/,/name/nm0456124/,/name/nm0041281/",12162,6659377
