movie_id,movie_name,year,certificate,runtime,genre,rating,description,director,director_id,star,star_id,votes,gross(in_$),path
tt0002772 ,The Criminal Path                                ,1914,         ,       ,"Drama, Crime                ",,Jim Jepson returns home after serving five years in prison for bank robbery. He manages to live a straight life with his wife and little daughter until misfortune overtakes him. His wife ...                See full summary »                                                                          ,Will S. Davis                          ,/name/nm0205653/,"Stuart Holmes, 
Edith Hallor, 
Hugh Jeffrey, 
Charles W. Travis              ","/name/nm0392059/,/name/nm0356706/,/name/nm0420292/,/name/nm0871374/                 ",,,D:/demo/output
tt0003131 ,War Is Hell                                      ,1914,         ,50 min ,"Drama, War                  ",6.7,"An army pilot is on a visit at the home of another army pilot in the neighboured country. He falls in love with his sister. After the outbreak of a war between the two countries, her ...                See full summary »                                                                              ",Alfred Machin                          ,/name/nm0532622/,"Baert, 
Suzanne Berni, 
Fernand Crommelynck, 
Nadia D'Angely                 ","/name/nm0046403/,/name/nm0076840/,/name/nm0188632/,/name/nm0195309/                 ",167,,D:/demo/output
tt0003584 ,"The $5, 000, 000 Counterfeiting Plot             ",1914,         ,       ,"Crime, Thriller             ",6.7,"A member of a counterfeiting gang gives a forged note to his daughter. When she spends it on a dress the note ends up in the hands of the secret service, who then bring the entire gang to justice.                                                                                                        ",Bertram Harrison                       ,/name/nm0365493/,"William J. Burns, 
Glen White, 
Joseph Sullivan, 
Cliff Saum                 ","/name/nm0122933/,/name/nm0924834/,/name/nm0838165/,/name/nm0766705/                 ",27,,D:/demo/output
tt0003584 ,"The $5, 000, 000 Counterfeiting Plot             ",1914,         ,       ,"Crime, Thriller             ",6.7,"A member of a counterfeiting gang gives a forged note to his daughter. When she spends it on a dress the note ends up in the hands of the secret service, who then bring the entire gang to justice.                                                                                                        ",Bertram Harrison                       ,/name/nm0365493/,"William J. Burns, 
Glen White, 
Joseph Sullivan, 
Cliff Saum                 ","/name/nm0122933/,/name/nm0924834/,/name/nm0838165/,/name/nm0766705/                 ",27,,D:/demo/output
tt0003587 ,'Round the World in 80 Days                      ,1914,         ,       ,Adventure                   ,5.5,Add a Plot                                                                                                                                                                                                                                                                                                  ,Ralph Ince                             ,/name/nm0408433/,                                                                             ,                                                                                    ,39,,D:/demo/output
tt0003589 ,0-18 or A Message from the Sky                   ,1914,         ,       ,"Crime, Drama                ",6.6,A typist exposes a group of businessmen as German spies plotting to blow up a bridge.                                                                                                                                                                                                                       ,George Loane Tucker                    ,/name/nm0875869/,"Jane Gail, 
Douglas Munro, 
Gerald Ames, 
Edward O'Neill                     ","/name/nm0301187/,/name/nm0613115/,/name/nm0024706/,/name/nm0642148/                 ",43,,D:/demo/output
tt0003595 ,Across the Pacific                               ,1914,         ,50 min ,"Adventure, Drama, Romance   ",4.1,"The Escott family, on their way to Montana, is attacked by Indians. Army Lt. Joe Lanier afterwards finds little Elsie Escott, the only survivor, and brings her to his mother, who takes in ...                See full summary »                                                                         ",Edwin Carewe                           ,/name/nm0136888/,"Dorothy Dalton, 
Samuel E. Hines, 
Millar, 
Barbara Tennant                  ","/name/nm0198272/,/name/nm0385714/,/name/nm0587646/,/name/nm0855036/                 ",25,,D:/demo/output
tt0003595 ,Across the Pacific                               ,1914,         ,50 min ,"Adventure, Drama, Romance   ",4.1,"The Escott family, on their way to Montana, is attacked by Indians. Army Lt. Joe Lanier afterwards finds little Elsie Escott, the only survivor, and brings her to his mother, who takes in ...                See full summary »                                                                         ",Edwin Carewe                           ,/name/nm0136888/,"Dorothy Dalton, 
Samuel E. Hines, 
Millar, 
Barbara Tennant                  ","/name/nm0198272/,/name/nm0385714/,/name/nm0587646/,/name/nm0855036/                 ",25,,D:/demo/output
tt0003598 ,The Adventures of Andy Clark                     ,1914,         ,       ,"Adventure, Comedy           ",4.6,Add a Plot                                                                                                                                                                                                                                                                                                  ,Charles H. France                      ,/name/nm0289797/,Andy Clark                                                                   ,/name/nm0163648/                                                                    ,20,,D:/demo/output
tt0003600 ,The Adventures of Kitty Cobb                     ,1914,         ,       ,Adventure                   ,6.4,"Kitty Cobb had longings for the big city which she had never seen. One day Kitty met a young civil engineer, Bob Caldecott, on his way to the fort near her home with secret plans. He took ...                See full summary »                                                                         ",T. Hayes Hunter                        ,/name/nm0403054/,"Marian Swayne, 
Jack Hopkins, 
Howard Missimer, 
Maggie Weston               ","/name/nm0842015/,/name/nm0394182/,/name/nm0582212/,/name/nm0922987/                 ",22,,D:/demo/output
tt0003609 ,Alexandra                                        ,1914,         ,       ,"Drama, Romance              ",5.1,Add a Plot                                                                                                                                                                                                                                                                                                  ,Curt A. Stark                          ,/name/nm0823150/,"Henny Porten, 
Friedrich Feher, 
Henny Steimann, 
Ernst Bretschke            ","/name/nm0691995/,/name/nm0270415/,/name/nm1987804/,/name/nm1990343/                 ",13,,D:/demo/output
tt0003613 ,Alone in New York                                ,1914,         ,       ,"Crime, Drama                ",,Add a Plot                                                                                                                                                                                                                                                                                                  ,"Guy Standing, 
Irene Tams              ",/name/nm0822058/,                                                                             ,/name/nm0848754/                                                                    ,,,D:/demo/output
tt0003617 ,America                                          ,1914,         ,       ,Adventure                   ,3.3,Add a Plot                                                                                                                                                                                                                                                                                                  ,Lawrence B. McGill                     ,/name/nm0569261/,"Bert Shepherd, 
Arthur Voegtlin, 
William J. Wilson                          ","/name/nm0791746/,/name/nm0900812/,/name/nm0934300/                                  ",22,,D:/demo/output
tt0003643 ,The Avenging Conscience: or 'Thou Shalt Not Kill',1914,Not Rated,78 min ,"Crime, Drama, Horror        ",6.4,"Prevented from dating his sweetheart by his uncle, a young man turns his thoughts to murder.                                                                                                                                                                                                                ",D.W. Griffith                          ,/name/nm0000428/,"Henry B. Walthall, 
Spottiswoode Aitken, 
Blanche Sweet, 
George Siegmann    ","/name/nm0910400/,/name/nm0014894/,/name/nm0842239/,/name/nm0797094/                 ",1321,,D:/demo/output
tt0003643 ,The Avenging Conscience: or 'Thou Shalt Not Kill',1914,Not Rated,78 min ,"Crime, Drama, Horror        ",6.4,"Prevented from dating his sweetheart by his uncle, a young man turns his thoughts to murder.                                                                                                                                                                                                                ",D.W. Griffith                          ,/name/nm0000428/,"Henry B. Walthall, 
Spottiswoode Aitken, 
Blanche Sweet, 
George Siegmann    ","/name/nm0910400/,/name/nm0014894/,/name/nm0842239/,/name/nm0797094/                 ",1321,,D:/demo/output
tt0003668 ,Beating Back                                     ,1914,         ,60 min ,"Adventure, Biography, Wester",5.6,"Oklahoma lawyer Al Jennings, whose father was a famous and respected judge, is enraged at the murder of his brother Ed, shot in the back by two killers. As if that wasn't enough, he finds ...                See full summary »                                                                         ",Caryl S. Fleming                       ,/name/nm0281621/,"Al J. Jennings, 
J. Morris Foster, 
Frank Farrington, 
Albert Froom          ","/name/nm0421104/,/name/nm0287854/,/name/nm0268437/,/name/nm0296433/                 ",23,,D:/demo/output
tt0003668 ,Beating Back                                     ,1914,         ,60 min ,"Adventure, Biography, Wester",5.6,"Oklahoma lawyer Al Jennings, whose father was a famous and respected judge, is enraged at the murder of his brother Ed, shot in the back by two killers. As if that wasn't enough, he finds ...                See full summary »                                                                         ",Caryl S. Fleming                       ,/name/nm0281621/,"Al J. Jennings, 
J. Morris Foster, 
Frank Farrington, 
Albert Froom          ","/name/nm0421104/,/name/nm0287854/,/name/nm0268437/,/name/nm0296433/                 ",23,,D:/demo/output
tt0003675 ,The Beloved Adventurer                           ,1914,         ,450 min,Adventure                   ,6.5,"In Chapter 8, ""A Partner To Providence"", His lordship rides a train that is mistakenly rerouted into a headlong collision into another engine, with the well-worn Lubin train crash footage ...                See full summary »                                                                         ",Arthur V. Johnson                      ,/name/nm0424530/,"Arthur V. Johnson, 
Lottie Briscoe, 
Florence Hackett, 
Howard M. Mitchell   ","/name/nm0424530/,/name/nm0109800/,/name/nm0352454/,/name/nm0593392/                 ",23,,D:/demo/output
tt0003692 ,The Boundary Rider                               ,1914,         ,       ,Adventure                   ,6.7,The revenue men in New York are after the smugglers of opium and find that a certain Chinaman is in the habit of receiving a supply of the drug at stated periods. They follow him in the ...                See full summary »                                                                           ,"Leopold Wharton, 
Theodore Wharton     ",/name/nm0923594/,"Thurlow Bergen, 
Elsie Esmond, 
William Bailey, 
Harry Carr                  ","/name/nm0923603/,/name/nm0074063/,/name/nm0260723/,/name/nm0047534/,/name/nm0139714/",18,,D:/demo/output
tt0003730 ,The Burglar and the Lady                         ,1914,         ,       ,"Crime, Drama                ",,"A gentleman burglar is a detective, which acts as a shield to his more shady pastime.                                                                                                                                                                                                                       ",Herbert Blaché                        ,/name/nm0085133/,"James J. Corbett, 
Claire Whitney, 
Fraunie Fraunholz, 
Calvin Reisland      ","/name/nm0179163/,/name/nm0926280/,/name/nm0292407/,/name/nm0718445/                 ",,,D:/demo/output
tt0003731 ,Burning Daylight: The Adventures of 'Burning Dayl,1914,         ,50 min ,"Adventure, Drama            ",4.7,"Elam Harnish, known as ""Burning Daylight,"" is a leader among the men of Circle City, Alaska in the days before the gold rush.                                                                                                                                                                               ",Hobart Bosworth                        ,/name/nm0098376/,"Hobart Bosworth, 
Rhea Haines, 
J. Charles Haydon, 
Elmer Clifton            ","/name/nm0098376/,/name/nm0354282/,/name/nm0370746/,/name/nm0166730/                 ",22,,D:/demo/output
