movie_id,movie_name,year,certificate,runtime,genre,rating,description,director,director_id,star,star_id,votes,gross(in_$),path
tt0067766 ,Smoke in the Wind                                ,1975,PG       ,98 min ,"Action, Drama, Romance      ",6,The Civil War is over but in the Ozarks of Arkansas people are not ready to forgive and forget. The Mondier brothers have returned from fighting for the Union and Mort Fagan is keeping things difficult for them in the community.                                                                        ,"Joseph Kane, 
Andy Brennan             ",/name/nm0437356/,"John Ashley, 
John Russell, 
Myron Healey, 
Walter Brennan                   ","/name/nm0107245/,/name/nm0039068/,/name/nm0751245/,/name/nm0372271/,/name/nm0000974/",44,,D:/demo/output
tt0067766 ,Smoke in the Wind                                ,1975,PG       ,98 min ,"Action, Drama, Romance      ",6,The Civil War is over but in the Ozarks of Arkansas people are not ready to forgive and forget. The Mondier brothers have returned from fighting for the Union and Mort Fagan is keeping things difficult for them in the community.                                                                        ,"Joseph Kane, 
Andy Brennan             ",/name/nm0437356/,"John Ashley, 
John Russell, 
Myron Healey, 
Walter Brennan                   ","/name/nm0107245/,/name/nm0039068/,/name/nm0751245/,/name/nm0372271/,/name/nm0000974/",44,,D:/demo/output
tt0067766 ,Smoke in the Wind                                ,1975,PG       ,98 min ,"Action, Drama, Romance      ",6,The Civil War is over but in the Ozarks of Arkansas people are not ready to forgive and forget. The Mondier brothers have returned from fighting for the Union and Mort Fagan is keeping things difficult for them in the community.                                                                        ,"Joseph Kane, 
Andy Brennan             ",/name/nm0437356/,"John Ashley, 
John Russell, 
Myron Healey, 
Walter Brennan                   ","/name/nm0107245/,/name/nm0039068/,/name/nm0751245/,/name/nm0372271/,/name/nm0000974/",44,,D:/demo/output
tt0068734 ,The Immoral Three                                ,1975,R        ,75 min ,Action                      ,4.3,"Three young girls must avenge the death of their mother, who was a spy, in order to collect a $3-million inheritance.                                                                                                                                                                                       ",Doris Wishman                          ,/name/nm0822555/,"Cindy Boudreau, 
Sandra Kay, 
Michele Marie, 
Robert S. Barba                ","/name/nm0099181/,/name/nm0443174/,/name/nm0547282/,/name/nm0053159/                 ",233,,D:/demo/output
tt0069735 ,The Killer is Not Alone                          ,1975,         ,81 min ,Thriller                    ,6,A psychologically damaged young man murders young women who sexually excite him.                                                                                                                                                                                                                            ,Jesús García de Dueñas              ,/name/nm0305610/,"Lola Flores, 
James Philbrook, 
Teresa Rabal, 
Domingo Codesido Ascanio      ","/name/nm0282871/,/name/nm0679920/,/name/nm0704722/,/name/nm1317694/                 ",68,,D:/demo/output
tt0069887 ,Order to Assassinate                             ,1975,R        ,110 min,"Crime, Drama                ",5.1,"The story concerns a mob family, headed by gambling czar Jose Ferrer. When one of family's hit men (Helmut Berger) fails to come up to expectations, Ferrer orders the man's execution.                                                                                                                     ",José Gutiérrez Maesso                ,/name/nm0349437/,"Helmut Berger, 
Sydne Rome, 
Kevin McCarthy, 
José María Caffarel          ","/name/nm0000918/,/name/nm0739185/,/name/nm0002994/,/name/nm0128405/                 ",80,,D:/demo/output
tt0069930 ,Countess Perverse                                ,1975,         ,87 min ,"Drama, Thriller             ",5.3,"Two wealthy aristocrats lure a virginal girl to a Spanish island for a night of sex, death and cannibalism.                                                                                                                                                                                                 ",Jesús Franco                          ,/name/nm0001238/,"Alice Arno, 
Robert Woods, 
Howard Vernon, 
Tania Busselier                  ","/name/nm0036309/,/name/nm0939961/,/name/nm0894677/,/name/nm0124449/                 ",643,,D:/demo/output
tt0070031 ,La encadenada                                    ,1975,         ,87 min ,Thriller                    ,5.8,"A beautiful young woman sets her sights on an aging millionaire. She seduces him, and moves into his mansion with him. She soon tires of him, though, and after she gets rid of him, she goes after his son                                                                                                 ",Manuel Mur Oti                         ,/name/nm0613377/,"Marisa Mell, 
Richard Conte, 
Anthony Steffen, 
Richard Baron                ","/name/nm0577867/,/name/nm0002017/,/name/nm0211922/,/name/nm0056301/                 ",219,,D:/demo/output
tt0070223 ,El investigador Capulina                         ,1975,         ,90 min ,"Comedy, Crime, Mystery      ",5.6,Add a Plot                                                                                                                                                                                                                                                                                                  ,Gilberto Martínez Solares             ,/name/nm0554924/,"Gaspar Henaine, 
Alicia Encinas, 
Superzan, 
Tinieblas                       ","/name/nm0376228/,/name/nm0256744/,/name/nm0839478/,/name/nm0495078/                 ",25,,D:/demo/output
tt0070223 ,El investigador Capulina                         ,1975,         ,90 min ,"Comedy, Crime, Mystery      ",5.6,Add a Plot                                                                                                                                                                                                                                                                                                  ,Gilberto Martínez Solares             ,/name/nm0554924/,"Gaspar Henaine, 
Alicia Encinas, 
Superzan, 
Tinieblas                       ","/name/nm0376228/,/name/nm0256744/,/name/nm0839478/,/name/nm0495078/                 ",25,,D:/demo/output
tt0070269 ,The Kill                                         ,1975,         ,81 min ,"Action, Drama               ",6.1,"Set in Macao, the film finds Richard Jaeckel cast as a two-fisted, womanizing private detective. He has been assigned to track down an international crime ring.                                                                                                                                            ",Rolf Bayer                             ,/name/nm0062960/,"Richard Jaeckel, 
Henry Duval, 
Judy Washington, 
David Au                   ","/name/nm0001395/,/name/nm0245027/,/name/nm0913476/,/name/nm6466761/                 ",21,,D:/demo/output
tt0070312 ,A Dragonfly for Each Corpse                      ,1975,Not Rated,85 min ,"Crime, Mystery, Thriller    ",5.7,"A killer is cleaning up the streets of Milan by murdering those considered as deviant. An ornamental dragonfly, soaked in the blood of the victim, is left on each body.                                                                                                                                    ",León Klimovsky                        ,/name/nm0459567/,"Paul Naschy, 
Erika Blanc, 
�?ngel Aranda, 
María Kosty                     ","/name/nm0596701/,/name/nm0086926/,/name/nm0033007/,/name/nm0467422/                 ",571,,D:/demo/output
